learning_rate/pg1,learning_rate/pg2,step,train_mention_loss,train_coref_loss,train_entity_loss,train_rel_loss,train_loss,epoch,valid_f1,mention_prec_micro,mention_rec_micro,mention_f1_micro,mention_prec_macro,mention_rec_macro,mention_f1_macro,coref_prec_micro,coref_rec_micro,coref_f1_micro,coref_prec_macro,coref_rec_macro,coref_f1_macro,entity_prec_micro,entity_rec_micro,entity_f1_micro,entity_prec_macro,entity_rec_macro,entity_f1_macro,rel_prec_micro,rel_rec_micro,rel_f1_micro,rel_prec_macro,rel_rec_macro,rel_f1_macro,rel_nec_prec_micro,rel_nec_rec_micro,rel_nec_f1_micro,rel_nec_prec_macro,rel_nec_rec_macro,rel_nec_f1_macro
,,50319,,,,,,33,54.2713567839196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.7229391891891894e-05,1.7229391891891894e-05,50999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,50999,5.167562630958855e-05,0.0,3.43907049682457e-05,0.0,6.0273301642155275e-05,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,51799,,,,,,34,57.43944636678201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.7567229729729732e-05,1.7567229729729732e-05,51999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,51999,0.000216801738133654,0.0,1.7285052308579907e-05,0.0,0.00022112300212029368,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.7905067567567568e-05,1.7905067567567568e-05,52999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,52999,3.032260065083392e-05,0.0,5.244937347015366e-05,0.0,4.343494219938293e-05,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,53279,,,,,,35,61.721068249258145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.8242905405405406e-05,1.8242905405405406e-05,53999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,53999,4.593324410961941e-05,0.0,0.00014285193174146116,0.0,8.16462270449847e-05,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,54759,,,,,,36,61.46095717884131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.8580743243243245e-05,1.8580743243243245e-05,54999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,54999,0.00016096151375677437,0.0,2.050361035799142e-05,5.9604641222676946e-08,0.00016614701598882675,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.8918581081081084e-05,1.8918581081081084e-05,55999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,55999,0.00034502852940931916,0.0,3.814685442193877e-06,0.0,0.0003459822037257254,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,56239,,,,,,37,63.852242744063325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.925641891891892e-05,1.925641891891892e-05,56999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,56999,5.591498484136537e-05,0.0,1.1324875686113955e-06,0.0,5.619810690404847e-05,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,57719,,,,,,38,64.86486486486486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.9594256756756758e-05,1.9594256756756758e-05,57999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,57999,1.4497929441859014e-05,0.0,5.30479519511573e-06,9.536737479720614e-07,1.6777801647549495e-05,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.9932094594594597e-05,1.9932094594594597e-05,58999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,58999,0.009618251584470272,0.0,3.8146863516885787e-06,0.0,0.009619205258786678,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,59199,,,,,,39,64.45012787723785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0269932432432435e-05,2.0269932432432435e-05,59999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,59999,0.01675155758857727,0.0,0.00014386502152774483,1.0728826964623295e-06,0.016788596287369728,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,60679,,,,,,40,62.10268948655256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.060777027027027e-05,2.060777027027027e-05,60999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,60999,4.0809682104736567e-05,0.0,1.0192291483690497e-05,0.0,4.3357755203032866e-05,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.094560810810811e-05,2.094560810810811e-05,61999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,61999,0.021873440593481064,0.0,9.596284144208767e-06,5.9604641222676946e-08,0.02187589928507805,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,62159,,,,,,41,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.1283445945945945e-05,2.1283445945945945e-05,62999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,62999,6.947700603632256e-05,0.0,7.629337233083788e-06,0.0,7.138434011721984e-05,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,63639,,,,,,42,64.72148541114058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.1621283783783787e-05,2.1621283783783787e-05,63999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,63999,0.008858151733875275,0.0,1.0132782790606143e-06,0.0,0.00885840505361557,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.1959121621621622e-05,2.1959121621621622e-05,64999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
